Date,Meal,Portions
2023/06/15,Crêpes sucrées,2
2023/06/15,Artichoke Spinach Lasagna,2
2023/06/15,Cheesy Beef and Bean Burritos,2
2023/06/16,Omelet,2
2023/06/16,Caldeirada(Portuguese Fish Stew),2
2023/06/16,Chicken Risotto,2
2023/06/17,Crêpes sucrées,2
2023/06/17,Classic Minestrone Soup,2
2023/06/17,Hackfleisch Zucchini Omelette,2
2023/06/18,Omelet,2
2023/06/18,No Noodle Zucchini Lasagna,2
2023/06/18,Moroccan Lentil Stew,2
2023/06/19,Galette bretonne,2
2023/06/19,Pizza Margherita,2
2023/06/19,Pizza Quatre Fromages,2
2023/06/20,Omelet,2
2023/06/20,Poached Cod in Tomato Curry,2
2023/06/20,Portuguese Cod Stew,2
2023/06/21,Omelet,2
2023/06/21,Poulet Curry,2
2023/06/21,Poulet Korma,2
2023/06/22,Omelet,2
2023/06/22,Poulet Tandoori,2
2023/06/23,Quiche Lorraine,2
2023/06/23,Spaghetti Carbonara,2
2023/06/23,Ratatouille,2
2023/06/24,Omelet,2
2023/06/24,Salade César au poulet grillé,2
2023/06/24,Sushi Maki,2
2023/06/25,Omelet,2
2023/06/25,Spaghetti Carbonara,2
2023/06/25,Salade César classique,2
2023/06/26,Tarte aux pommes classique,2
2023/06/26,Spaghetti Carbonara,2
2023/06/26,Tomato Risotto,2
2023/06/27,Omelet,2
2023/06/27,Tomato Risotto with Saffron,2
2023/06/27,No Noodle Zucchini Lasagna,2
2023/06/28,Omelet,2
2023/06/28,Pizza Margherita,2
2023/06/28,Poulet Curry,2
2023/06/29,Omelet,2
2023/06/29,Classic Minestrone Soup,2
2023/06/29,Hackfleisch Zucchini Omelette,2
