Problematic_Component,Ingredient
Lactose,gorgonzola
Lactose,heavy cream
Lactose,milk
Lactose,mozzarella
Lactose,sour cream
Lactose,thick cream
Lactose,yogurt
Gluten,bread
Gluten,farine
Gluten,farine de sarrasin
Gluten,flour
Gluten,italian pasta
Gluten,lasagna noodles
Gluten,pizza flour
Gluten,spaghetti
Gluten,soy sauce
Gluten,taco seasoning
Animal Products,anchovy
Animal Products,beurre
Animal Products,butter
Animal Products,cheese
Animal Products,chicken
Animal Products,chicken broth
Animal Products,chicken stock
Animal Products,chicken thighs
Animal Products,cod
Animal Products,cottage cheese
Animal Products,egg
Animal Products,egg yolks
Animal Products,eggs
Animal Products,feta
Animal Products,fresh sushi fish
Animal Products,fish sauce
Animal Products,fromage râpé
Animal Products,goat cheese
Animal Products,gorgonzola
Animal Products,grated cheese
Animal Products,ground beef
Animal Products,guanciale
Animal Products,heavy cream
Animal Products,jambon
Animal Products,lait
Animal Products,mexican cheese blend
Animal Products,milk
Animal Products,mozzarella
Animal Products,oeuf
Animal Products,oeufs
Animal Products,parmesan
Animal Products,sour cream
Animal Products,thick cream
Animal Products,yogurt
Fisch and Meat,anchovy
Fisch and Meat,chicken
Fisch and Meat,chicken broth
Fisch and Meat,chicken stock
Fisch and Meat,chicken thighs
Fisch and Meat,cod
Fisch and Meat,fresh sushi fish
Fisch and Meat,fish sauce
Fisch and Meat,ground beef
Fisch and Meat,guanciale
Fisch and Meat,jambon
Pork,guanciale
Pork,jambon
